Model A,Model B,"b (A benar, B salah)","c (A salah, B benar)",Chi-squared,p-value,Signifikan (alpha=0.05),Signifikan (alpha=0.01),Interpretasi
Decision Tree,Random Forest,4,19,8.5217,0.0035,Ya,Ya,Perbedaan performa kedua model SIGNIFIKAN secara statistik (p = 0.0035 < 0.01).
Decision Tree,XGBoost,97,14,60.5766,0.0,Ya,Ya,Perbedaan performa kedua model SIGNIFIKAN secara statistik (p = 0.0000 < 0.01).
Decision Tree,LightGBM,43,14,13.7544,0.0002,Ya,Ya,Perbedaan performa kedua model SIGNIFIKAN secara statistik (p = 0.0002 < 0.01).
Decision Tree,CatBoost,69,16,31.8118,0.0,Ya,Ya,Perbedaan performa kedua model SIGNIFIKAN secara statistik (p = 0.0000 < 0.01).
Random Forest,XGBoost,110,12,77.123,0.0,Ya,Ya,Perbedaan performa kedua model SIGNIFIKAN secara statistik (p = 0.0000 < 0.01).
Random Forest,LightGBM,52,8,30.8167,0.0,Ya,Ya,Perbedaan performa kedua model SIGNIFIKAN secara statistik (p = 0.0000 < 0.01).
Random Forest,CatBoost,81,13,47.7553,0.0,Ya,Ya,Perbedaan performa kedua model SIGNIFIKAN secara statistik (p = 0.0000 < 0.01).
XGBoost,LightGBM,14,68,34.2561,0.0,Ya,Ya,Perbedaan performa kedua model SIGNIFIKAN secara statistik (p = 0.0000 < 0.01).
XGBoost,CatBoost,31,61,9.1413,0.0025,Ya,Ya,Perbedaan performa kedua model SIGNIFIKAN secara statistik (p = 0.0025 < 0.01).
LightGBM,CatBoost,55,31,6.1512,0.0131,Ya,Tidak,Perbedaan performa kedua model SIGNIFIKAN secara statistik (p = 0.0131 < 0.05).
